close,Date
440.25,2020-08-05
455.61,2020-08-06
444.45,2020-08-07
450.91,2020-08-10
437.5,2020-08-11
452.04,2020-08-12
460.0400000000001,2020-08-13
459.63,2020-08-14
458.42999999999995,2020-08-17
462.25,2020-08-18
462.8299999999999,2020-08-19
473.1,2020-08-20
497.48,2020-08-21
503.42999999999995,2020-08-24
499.29999999999995,2020-08-25
506.0899999999999,2020-08-26
500.03999999999996,2020-08-27
499.23,2020-08-28
129.04,2020-08-31
120.88,2020-09-03
120.96,2020-09-04
112.82,2020-09-08
117.32000000000001,2020-09-09
113.49,2020-09-10
112.0,2020-09-11
115.355,2020-09-14
115.54,2020-09-15
112.13,2020-09-16
110.33999999999999,2020-09-17
106.84,2020-09-18
110.08000000000001,2020-09-21
111.80999999999999,2020-09-22
107.11999999999999,2020-09-23
108.22000000000001,2020-09-24
112.28,2020-09-25
114.96,2020-09-28
114.09,2020-09-29
115.81,2020-09-30
116.79,2020-10-01
113.02000000000001,2020-10-02
116.49999999999999,2020-10-05
